name	ticker	m_cat	date	tot_ret_1mo	tot_ret_3mo	tot_ret_ytd	tot_ret_12mo	tot_ret_3yr	tot_ret_5yr	tot_ret_10yr	tot_ret_15yr	standard_dev_5yr	avg_maturity	avg_duration	avg_weighted_coupon	aaa	aa	a	bbb	bb	b	below_b	nr_na	%_large_blend	%_large_growth	%_large_value	%_mid_blend	%_mid_growth	%_mid_value	%_small_blend	%_small_growth	%_small_value	%_bonds_long	%_bonds_short	%_cash_long	%_cash_short	%_us_stocks_long	%_us_stocks_short	%_non_us_stocks_long	%_non_us_stocks_short	%_other_not_class_long	%_other_not_class_short	%_cyclical	%_sensitive	%_defensive	%_basic_materials	%_consumer_cyclical	%_fin_services	%_real_estate	%_communication_services	%_energy	Industrials	Technology	%_consumer_defensive	%_healthcare	%_utilities	m_risk_score
BlackRock 60/40 Target Allocation R	BRGPX	US Fund Moderate Allocation	2024-09-06	2.12	2.26	7.62	13.32	2.29	7.37	6.24	8.84	12.56	3.61	2.35	4.28	7.00	38.00	6.11	10.05	4.31	2.46	2.43	29.65	27	45	12	7	4	4	0	0	0	28.99	5.16	15.54	14.69	48.24	0.06	15.84	0.04	11.45	0.13	27.10	54.44	18.47	2.78	9.56	12.99	1.78	8.15	3.03	9.36	33.89	5.34	11.00	2.13	44
BlackRock 80/20 Target Allocation R	BRAPX	US Fund Moderately Aggressive Allocation	2024-09-06	2.47	2.84	10.25	16.88	4.22	9.77	7.73	10.26	14.90	1.65	1.10	4.09	2.03	7.86	1.98	0.00	0.00	0.00	0.00	88.13	26	44	12	7	4	4	1	0	1	19.61	2.73	7.01	7.52	65.05	0.04	18.54	0.06	0.19	0.06	27.02	53.52	19.46	2.99	9.51	12.76	1.76	8.04	3.13	9.78	32.57	5.20	11.13	3.12	58
BlackRock LifePath Dyn 2025 R	LPBRX	US Fund Target-Date 2025	2024-09-06	1.13	1.13	4.65	9.30	0.51	4.97	4.96	-	11.90	3.48	2.99	-	-	-	-	-	-	-	-	-	21	26	14	7	4	6	8	5	8	23.13	4.34	33.39	19.79	18.98	0.00	15.00	0.00	34.23	0.60	36.70	45.00	18.30	3.87	9.60	16.21	7.01	6.35	3.55	13.09	22.02	5.12	11.30	1.89	33
BlackRock LifePath Dyn 2030 R	LPRNX	US Fund Target-Date 2030	2024-09-06	1.26	1.34	6.12	11.58	1.65	6.29	5.87	7.83	13.61	2.87	2.54	-	-	-	-	-	-	-	-	-	22	26	15	7	4	6	8	5	7	20.07	4.37	29.93	16.82	24.63	0.00	22.47	0.00	24.86	0.77	36.67	44.99	18.34	4.02	9.53	16.48	6.65	6.44	3.60	13.26	21.68	5.20	11.26	1.88	39
BlackRock LifePath Dyn 2035 R	LPJRX	US Fund Target-Date 2035	2024-09-06	1.33	1.59	7.28	13.29	2.46	7.40	6.58	-	14.90	1.90	1.87	2.07	-	-	-	-	-	-	-	-	21	25	14	8	4	6	9	5	8	14.22	3.02	36.47	13.69	28.76	0.00	23.73	0.00	14.42	0.88	37.04	44.70	18.27	3.92	9.59	16.23	7.30	6.31	3.59	13.12	21.67	5.09	11.27	1.91	35
BlackRock LifePath Dyn 2040 R	LPRKX	US Fund Target-Date 2040	2024-09-06	1.40	1.81	8.69	15.38	3.44	8.51	7.28	9.17	16.50	1.42	1.20	2.70	-	-	-	-	-	-	-	-	22	25	14	8	4	6	8	5	7	12.80	4.07	31.76	12.20	34.04	0.00	31.06	0.00	7.64	1.04	37.22	44.54	18.23	4.03	9.53	16.31	7.36	6.33	3.60	13.29	21.32	5.14	11.19	1.90	44
BlackRock LifePath Dyn 2045 R	LPHRX	US Fund Target-Date 2045	2024-09-06	1.59	2.10	9.92	17.27	4.22	9.31	7.72	-	17.40	0.69	0.52	2.97	-	-	-	-	-	-	-	-	21	25	14	8	4	6	9	5	8	9.63	4.93	36.59	10.50	37.85	0.00	30.43	0.00	2.07	1.14	37.39	44.27	18.34	3.87	9.43	16.17	7.91	6.23	3.58	13.09	21.36	5.05	11.37	1.91	46
BlackRock LifePath Dyn 2050 R	LPRPX	US Fund Target-Date 2050	2024-09-06	1.64	2.03	10.47	18.36	4.28	9.58	7.86	9.94	17.92	0.41	0.61	-	-	-	-	-	-	-	-	-	21	25	14	8	4	6	8	5	8	8.25	3.41	34.14	12.86	39.75	0.00	34.06	0.00	1.26	1.20	37.30	44.47	18.22	3.95	9.53	16.24	7.58	6.29	3.60	13.14	21.44	5.08	11.23	1.91	51
BlackRock LifePath Dyn 2055 R	LPVRX	US Fund Target-Date 2055	2024-09-06	1.72	2.20	10.94	18.81	4.49	9.89	7.95	-	17.91	0.14	0.25	-	-	-	-	-	-	-	-	-	22	26	15	7	4	6	8	5	8	4.36	2.94	35.13	11.89	41.38	0.00	33.90	0.00	1.31	1.25	36.82	44.68	18.51	3.90	9.48	16.40	7.04	6.33	3.63	13.14	21.58	5.10	11.48	1.92	52
BlackRock LifePath Dyn Retirement R	LPRRX	US Fund Target-Date Retirement	2024-09-06	1.10	1.10	4.58	9.26	0.25	4.34	4.22	5.66	10.71	4.02	3.06	-	-	-	-	-	-	-	-	-	22	26	14	8	4	6	8	5	7	17.32	5.91	28.22	13.56	18.12	0.00	15.59	0.00	40.79	0.58	36.79	45.15	18.06	3.97	9.71	16.17	6.94	6.40	3.52	13.18	22.05	5.16	11.03	1.86	48
BlackRock LifePath Dynamic 2060 R	LPDRX	US Fund Target-Date 2060	2024-09-06	1.79	2.29	11.01	18.93	4.56	9.66	-	-	17.87	0.13	0.20	-	-	-	-	-	-	-	-	-	22	26	16	7	4	5	8	5	7	3.40	2.21	34.96	9.58	39.06	0.00	34.31	0.00	1.23	1.16	37.38	44.26	18.36	4.09	9.16	17.09	7.04	6.16	4.10	13.08	20.92	5.10	11.31	1.95	49
BlackRock LifePath Dynamic 2065 Inv R	LPWRX	US Fund Target-Date 2065+	2024-09-06	1.68	2.23	10.78	18.60	4.57	-	-	-	-	0.21	0.36	-	-	-	-	-	-	-	-	-	22	25	15	7	4	6	8	5	8	3.97	1.93	48.70	9.92	31.99	0.00	26.75	0.00	1.37	0.93	38.40	43.70	17.91	4.08	9.16	16.89	8.26	5.95	4.20	12.85	20.69	4.96	11.00	1.95	42
Franklin Conservative Allocation R	FTCRX	US Fund Moderately Conservative Allocation	2024-09-06	1.33	1.03	4.88	9.88	0.48	3.70	3.46	5.07	9.97	8.71	5.94	3.62	15.27	49.04	12.71	16.09	3.48	1.66	0.65	1.09	24	38	15	7	5	9	1	0	1	58.00	0.53	9.62	7.43	30.95	0.34	9.63	0.06	0.82	0.66	28.20	51.41	20.39	3.66	10.06	12.98	1.50	7.93	3.72	10.23	29.53	5.55	12.63	2.20	29
Franklin Growth Allocation R	FGTRX	US Fund Moderately Aggressive Allocation	2024-09-06	1.96	2.12	10.51	17.37	4.10	8.59	7.09	8.98	14.57	8.71	5.94	3.62	15.28	49.04	12.71	16.09	3.48	1.66	0.65	1.09	25	37	15	7	5	9	1	0	1	18.22	0.44	4.37	2.32	61.21	0.30	19.12	0.06	0.86	0.66	28.32	51.20	20.47	3.68	9.97	13.14	1.54	7.80	3.67	10.37	29.36	5.51	12.73	2.23	57
Franklin Moderate Allocation R	FTMRX	US Fund Moderate Allocation	2024-09-06	1.64	1.57	7.82	13.76	2.37	6.25	5.36	6.99	12.12	8.71	5.94	3.62	15.28	49.04	12.71	16.09	3.48	1.66	0.65	1.09	24	38	15	7	5	9	1	0	1	38.13	0.48	6.98	4.80	46.04	0.32	14.34	0.06	0.84	0.66	28.19	51.44	20.37	3.66	10.08	12.96	1.49	7.93	3.70	10.23	29.58	5.55	12.63	2.19	43
Goldman Sachs Balanced Strategy R	GIPRX	US Fund Tactical Allocation	2024-09-06	1.25	1.08	4.56	9.96	0.69	4.37	3.63	5.19	9.75	11.41	6.17	4.25	37.13	5.57	18.40	21.14	1.62	1.70	0.38	14.05	24	31	17	10	5	8	2	1	1	63.36	14.98	17.89	15.33	31.11	0.22	17.93	0.21	0.51	0.07	33.24	48.13	18.63	3.72	10.39	14.78	4.34	6.76	4.98	12.32	24.06	5.77	10.01	2.86	26
Invesco Active Allocation R	OAANX	US Fund Moderately Aggressive Allocation	2024-09-06	-0.22	-1.09	4.77	9.81	-0.42	5.52	5.14	7.69	15.60	10.98	5.84	5.27	5.85	46.65	16.67	16.44	7.14	5.05	1.23	0.97	21	30	8	11	9	9	6	4	4	27.13	3.98	12.49	11.20	54.15	0.84	21.00	0.00	1.25	0.00	31.98	47.92	20.10	3.50	11.04	13.19	4.25	8.01	3.47	12.55	23.89	6.04	11.90	2.17	55
Invesco Advantage International R	QMGRX	US Fund Foreign Large Blend	2024-09-06	-0.90	1.57	7.12	7.86	-0.46	4.35	-	-	12.71	-	-	-	-	-	-	-	-	-	-	-	27	38	30	1	1	1	0	0	1	0.00	0.00	19.68	10.90	2.19	0.00	88.99	0.00	0.04	0.00	42.46	44.84	12.70	7.27	8.82	25.08	1.29	5.56	4.68	15.93	18.67	3.50	7.87	1.33	64
Invesco Balanced-Risk Allocation R	ABRRX	US Fund Tactical Allocation	2024-09-06	0.69	-0.91	4.69	8.62	-1.55	2.91	3.04	5.43	10.63	-	-	-	-	-	-	-	-	-	-	-	17	19	12	2	2	2	18	13	15	79.28	0.00	70.63	74.69	13.17	0.22	11.75	0.00	0.22	0.14	40.30	42.16	17.54	5.80	11.11	19.38	4.01	5.65	5.54	11.59	19.38	4.44	10.12	2.98	44
Invesco Balanced-Risk Commodity Strat R	BRCRX	US Fund Commodities Broad Basket	2024-09-06	0.31	1.08	7.05	9.03	4.51	7.52	0.13	-	15.14	-	-	3.63	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23.76	0.00	52.71	0.00	0.00	0.00	0.00	0.00	23.53	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	55
Invesco Select Risk: Moderate Inv R	ONMIX	US Fund Moderate Allocation	2024-09-06	0.00	-0.82	3.89	8.54	-0.77	4.33	4.36	6.68	13.32	10.99	5.85	5.26	5.89	46.69	16.72	16.52	7.07	4.94	1.20	0.97	20	29	8	11	9	10	6	4	4	42.94	3.35	7.40	7.27	43.04	0.00	15.72	0.00	1.53	0.00	32.40	47.59	20.01	3.54	10.92	13.11	4.83	7.99	3.59	12.60	23.41	5.89	11.90	2.22	43
S&P 500 TR USD	-	-	2024-09-06	-	4.28	15.29	24.56	10.01	15.05	12.86	14.82	18.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.37	0.00	0.63	0.00	0.00	0.00	27.08	52.18	20.74	2.00	9.85	12.87	2.35	8.76	3.53	7.56	32.33	5.99	12.20	2.55	-
