name	ticker	date	m_cat	prospectus_benchmark	fund_obj	ar_net_expense	tot_ret_1mo	tot_ret_3mo	tot_ret_ytd	tot_ret_12mo	tot_ret_3yr	tot_ret_5yr	tot_ret_10yr	tot_ret_15yr	standard_dev_5yr	%_cyclical	%_sensitive	%_defensive	%_basic_materials	%_consumer_cyclical	%_fin_services	%_real_estate	%_communication_services	%_energy	Industrials	Technology	%_consumer_defensive	%_healthcare	%_utilities	%_africa_middle_east	%_americas	%_north_america	%_latin_america	%_asia_developed	%_asia_emerging	%_australasia	%_united_kingdom	%_europe_developed	%_europe_emerging	%_greater_asia	%_greater_europe	%_japan	%_mkt_maturity_dev	%_mkt_maturity_emerging	avg_maturity	avg_duration	avg_credit_quality	avg_weighted_coupon	aaa	aa	a	bbb	bb	b	below_b	%_government	%_corporate	%_securitized	%_municipal	%_cash	%_derivative	%_large_blend	%_large_growth	%_large_value	%_mid_blend	%_mid_growth	%_mid_value	%_small_blend	%_small_growth	%_small_value	%_bonds_long	%_bonds_short	%_cash_long	%_cash_short	%_us_stocks_long	%_us_stocks_short	%_non_us_stocks_long	%_non_us_stocks_short	m_risk_score
iShares Global 100 ETF	IOO	2024-09-06	US Fund Global Large-Stock Blend	S&P Global 100 NR USD	World Stock	0.40	4.41	8.76	20.77	28.55	12.63	16.52	11.70	12.13	17.15	20.52	58.79	20.69	1.21	9.24	9.66	0.40	7.97	4.52	4.59	41.71	8.42	11.70	0.56	0.00	78.87	78.87	0.00	1.00	1.10	0.50	4.91	11.28	0.00	4.95	16.18	2.33	98.90	1.10	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	47	27	25	0	0	0	0	0	0	0.00	0.00	0.30	0.00	78.87	0.00	20.83	0.00	71
iShares Global Clean Energy ETF	ICLN	2024-09-06	US Fund Miscellaneous Sector	S&P Global Clean Energy NR USD	Specialty - Natural Resources	0.41	-10.44	-4.10	-13.89	-26.54	-16.20	5.74	3.12	-1.40	32.93	1.52	37.38	61.11	1.52	0.00	0.00	0.00	0.00	0.00	13.70	23.68	0.00	0.00	61.11	0.49	46.26	37.30	8.96	2.64	16.07	0.71	0.25	29.22	0.37	23.41	30.33	3.95	74.61	25.39	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	72.87	27.13	22	9	17	4	19	13	7	5	4	0.00	0.00	0.64	0.00	34.84	0.00	64.52	0.00	147
iShares Global Comm Services ETF	IXP	2024-09-06	US Fund Communications	S&P Glb1200ComSrv4.5/22.5/45 Ca TR USD	Specialty - Communications	0.41	3.13	6.05	19.59	31.33	2.36	10.63	6.10	8.12	18.43	0.80	99.20	0.00	0.00	0.20	0.00	0.60	99.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	74.57	74.04	0.53	0.84	6.24	1.20	1.75	7.64	0.00	16.05	9.38	7.75	93.23	6.78	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	58	12	23	2	2	3	0	0	0	0.00	0.00	0.20	0.02	72.46	0.00	27.36	0.00	74
iShares Global Consumer Discr ETF	RXI	2024-09-06	US Fund Consumer Cyclical	S&P Global 1200 Cons Disc Sec Cap USD	Specialty - Unaligned	0.41	0.78	-3.36	2.00	3.94	-1.00	7.39	8.06	12.09	21.37	94.23	4.96	0.80	0.00	94.23	0.00	0.00	1.12	0.00	0.40	3.45	0.74	0.06	0.00	0.00	59.46	59.38	0.09	0.87	5.88	1.47	3.32	16.31	0.00	20.90	19.64	12.64	94.04	5.96	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	18	43	22	8	3	5	1	0	1	0.00	0.00	0.23	0.04	57.72	0.00	42.08	0.00	81
iShares Global Consumer Staples ETF	KXI	2024-09-06	US Fund Consumer Defensive	S&P Glb 1200 Cons Stpl Sec Cpd NR USD	Specialty - Unaligned	0.41	-1.78	-0.44	2.48	1.29	1.88	5.18	5.41	9.04	13.66	1.84	0.00	98.16	0.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	97.12	1.04	0.00	0.00	66.08	64.64	1.44	0.00	0.00	1.37	12.07	15.07	0.00	6.78	27.14	5.37	98.56	1.44	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	97.69	2.31	47	4	30	12	0	6	0	0	0	0.00	0.00	0.46	0.00	62.06	0.00	37.48	0.00	60
iShares Global Energy ETF	IXC	2024-09-06	US Fund Equity Energy	S&P Gbl 1200 Engy 4.5/22.5/45 Cap TR USD	Specialty - Natural Resources	0.41	-2.48	-1.23	8.46	15.83	21.05	10.17	2.48	5.64	30.84	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	74.54	72.26	2.29	0.00	1.23	1.93	11.40	9.77	0.00	4.29	21.17	1.08	96.49	3.52	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	94.34	5.66	7	1	69	7	2	14	0	0	0	0.00	0.00	0.73	0.00	58.75	0.00	40.52	0.00	105
iShares Global Equity Factor ETF	GLOF	2024-09-06	US Fund Global Large-Stock Blend	STOXX Global Eq Factor NR USD	Growth and Income	0.26	2.25	3.59	13.03	22.90	6.10	10.13	-	-	17.20	32.84	45.57	21.60	3.46	12.55	15.15	1.68	6.63	3.85	8.53	26.56	7.25	11.24	3.10	1.43	63.76	62.29	1.48	5.20	4.60	1.92	2.66	12.41	0.98	18.76	17.48	6.84	92.23	7.77	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	95.52	4.47	31	18	25	10	5	10	0	0	0	0.00	0.00	0.32	0.06	59.84	0.00	39.75	0.00	68
iShares Global Financials ETF	IXG	2024-09-06	US Fund Financial	S&P Global 1200 Financials NR USD	Specialty - Financial	0.41	-1.45	-0.11	10.14	22.44	6.44	8.73	6.83	8.49	21.85	97.37	2.63	0.00	0.00	0.00	97.37	0.00	0.00	0.00	0.46	2.17	0.00	0.00	0.00	0.00	64.72	63.22	1.50	3.27	1.71	4.42	4.51	16.20	0.00	14.57	20.71	5.05	96.79	3.21	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	96.24	3.76	36	10	40	6	1	6	0	0	0	0.00	0.00	0.74	0.00	55.61	0.00	43.27	0.00	78
iShares Global Healthcare ETF	IXJ	2024-09-06	US Fund Health	S&P Global 1200 Healthcare Sector NR USD	Specialty - Health	0.41	1.63	0.39	7.83	10.75	5.11	9.95	8.72	12.15	14.43	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	71.34	71.26	0.08	0.28	0.00	1.53	4.57	17.98	0.00	6.11	22.56	4.27	99.93	0.08	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.52	0.48	26	29	33	6	2	3	0	0	0	0.00	0.00	0.40	0.00	70.72	0.00	28.89	0.00	62
iShares Global Industrials ETF	EXI	2024-09-06	US Fund Industrials	S&P Global 1200 Industrials NR USD	World Stock	0.41	-2.41	-2.48	6.91	14.07	5.99	9.81	8.20	11.28	20.75	0.76	98.24	1.00	0.29	0.31	0.15	0.00	1.37	0.10	91.21	5.56	0.23	0.00	0.78	0.00	59.56	59.18	0.38	0.59	0.00	0.92	5.07	20.27	0.00	15.11	25.33	13.69	99.62	0.38	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	26	24	26	12	8	3	0	0	0	0.00	0.00	0.50	0.00	55.26	0.00	44.24	0.00	74
iShares Global Infrastructure ETF	IGF	2024-09-06	US Fund Infrastructure	S&P Global Infrastructure NR USD	Specialty - Utility	0.42	-3.32	2.36	3.60	5.85	4.80	3.62	3.82	6.78	19.40	0.00	57.69	42.31	0.00	0.00	0.00	0.00	0.00	20.58	37.11	0.00	0.00	0.00	42.31	0.00	58.81	51.71	7.09	1.72	4.33	11.29	1.97	20.39	0.00	18.83	22.36	1.38	88.57	11.43	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	98.68	1.32	19	6	26	21	6	20	2	0	0	0.00	0.00	0.46	0.00	42.90	0.00	56.64	0.00	70
iShares Global Materials ETF	MXI	2024-09-06	US Fund Natural Resources	S&P Global 1200 Materials Sector NR USD	Specialty - Natural Resources	0.41	-4.02	-3.76	-1.35	6.60	1.48	8.63	5.66	6.74	22.05	99.90	0.10	0.00	93.91	6.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	53.69	50.67	3.02	1.27	0.00	8.73	6.48	23.02	0.00	16.81	29.50	6.70	96.98	3.02	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	31	11	33	14	2	8	0	0	0	0.00	0.00	0.49	0.00	41.92	0.00	57.59	0.00	78
iShares Global REIT ETF	REET	2024-09-06	US Fund Global Real Estate	FTSE EPRA Nareit Global REITs NR USD	Specialty - Real Estate	0.14	1.01	-1.50	-2.99	4.46	-2.98	0.60	-	-	21.64	100.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	75.65	75.16	0.49	3.80	0.52	6.45	3.60	3.54	0.08	16.55	7.80	5.72	98.32	1.68	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	75.87	24.13	13	7	4	46	1	11	12	2	5	0.00	0.00	0.56	0.00	71.68	0.00	27.00	0.00	75
iShares Global Tech ETF	IXN	2024-09-06	US Fund Technology	S&P Gbl 1200 InfoTch 4.5/22.5/45C TR USD	Specialty - Technology	0.41	8.73	10.93	21.71	33.86	14.45	23.44	19.82	18.48	22.56	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.59	99.41	0.00	0.00	0.00	0.00	80.97	80.97	0.00	8.79	0.26	0.20	0.18	5.87	0.00	12.97	6.06	3.71	99.74	0.26	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	96.18	3.82	49	37	6	3	3	1	0	0	0	0.00	0.00	0.36	0.07	79.79	0.00	19.91	0.00	81
iShares Global Timber & Forestry ETF	WOOD	2024-09-06	US Fund Natural Resources	S&P Global Timber and Forestry NR USD	Specialty - Natural Resources	0.41	-4.15	-5.65	-2.07	11.04	-1.50	7.23	5.91	8.98	22.15	100.00	0.00	0.00	65.85	15.54	0.00	18.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.07	52.46	39.13	13.34	0.00	2.33	0.00	4.23	27.72	0.00	13.53	34.01	11.11	82.27	17.73	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.67	0.33	5	0	17	24	3	31	2	5	14	0.00	0.00	0.73	0.00	28.21	0.00	71.06	0.00	82
iShares Global Utilities ETF	JXI	2024-09-06	US Fund Utilities	S&P Global 1200 Utilities Sector NR USD	Specialty - Utility	0.50	-5.08	3.03	4.08	3.78	3.55	5.07	5.26	6.13	16.99	0.00	1.16	98.84	0.00	0.00	0.00	0.00	0.00	0.00	1.16	0.00	0.00	0.00	98.84	0.00	70.88	70.21	0.67	0.00	0.00	0.99	6.83	18.83	0.00	3.47	25.65	2.45	99.33	0.67	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	19	0	33	18	1	28	1	0	0	0.00	0.00	0.75	0.25	66.34	0.00	33.16	0.00	67
iShares India 50 ETF	INDY	2024-09-06	US Fund India Equity	Nifty 50 GR USD	Foreign Stock	0.89	5.07	6.47	9.04	19.52	8.63	9.34	7.83	-	19.73	48.57	35.18	16.25	6.23	9.60	32.74	0.00	3.74	12.56	4.80	14.08	8.63	4.53	3.10	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	100.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	49	48	3	0	0	0	0	0	0	0.00	0.00	4.34	4.23	0.00	0.00	99.89	0.00	55
iShares International Dev Real Est ETF	IFGL	2024-09-06	US Fund Global Real Estate	FTSE EPRA Nareit Developed Ex US NR USD	Specialty - Real Estate	0.48	-3.22	-5.09	-6.69	3.37	-9.62	-4.35	-0.68	3.61	20.74	100.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	6.53	6.53	0.00	15.48	0.00	16.30	9.52	24.91	0.00	58.22	35.25	25.07	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	76.48	23.52	8	7	21	31	3	18	7	1	5	0.00	0.00	1.07	0.13	0.00	0.00	97.00	0.00	70
iShares International Equity Factor ETF	INTF	2024-09-06	US Fund Foreign Large Blend	STOXX International Equity Factor TR USD	Growth and Income	0.15	-2.58	-0.10	6.36	13.06	2.95	5.82	-	-	18.13	41.98	35.39	22.63	6.09	12.60	20.71	2.57	5.13	4.61	16.44	9.20	8.53	10.26	3.85	0.00	6.28	6.28	0.00	3.07	0.18	7.37	11.87	46.14	0.14	35.57	58.15	24.62	99.68	0.32	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	94.52	5.48	24	22	25	11	5	13	0	0	0	0.00	0.00	0.69	0.00	0.27	0.00	98.67	0.00	72
iShares Latin America 40 ETF	ILF	2024-09-06	US Fund Latin America Stock	S&P Latin America 40 NR USD	Growth	0.48	-6.06	-10.61	-12.52	-3.59	0.69	0.06	-0.01	1.56	30.48	55.27	27.82	16.91	18.71	1.20	34.62	0.75	4.61	14.18	9.03	0.00	12.81	1.41	2.69	0.00	100.00	1.92	98.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92	98.08	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	88.91	11.09	37	19	42	1	0	2	0	0	0	0.00	0.00	1.36	0.00	1.97	0.00	96.66	0.00	108
iShares MSCI ACWI ETF	ACWI	2024-09-06	US Fund Global Large-Stock Blend	MSCI ACWI NR USD	World Stock	0.32	2.04	2.92	11.37	19.28	5.51	10.80	8.58	10.43	17.51	32.14	47.08	20.78	3.78	10.02	16.06	2.28	7.70	4.23	9.95	25.19	6.47	11.61	2.71	1.14	67.35	66.43	0.92	3.85	5.04	1.71	3.39	11.97	0.22	15.93	16.71	5.17	93.11	6.89	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.23	0.77	36	24	24	7	4	5	0	0	0	0.00	0.00	0.28	0.06	63.93	0.00	35.80	0.00	69
iShares MSCI ACWI ex US ETF	ACWX	2024-09-06	US Fund Foreign Large Blend	MSCI ACWI Ex USA NR USD	Foreign Stock	0.32	-0.43	0.98	5.63	11.12	0.27	5.40	3.71	5.97	17.66	40.78	38.61	20.61	6.75	10.03	22.11	1.90	5.85	5.39	13.63	13.74	7.22	10.31	3.07	3.22	10.40	8.16	2.24	10.55	14.02	4.78	9.14	32.42	0.61	44.22	45.38	14.43	81.13	18.87	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	79.91	20.09	31	33	26	4	3	3	0	0	0	0.00	0.00	0.68	0.31	0.86	0.00	98.61	0.00	70
iShares MSCI Agriculture Producers ETF	VEGI	2024-09-06	US Fund Natural Resources	MSCI ACWI Select Agricul Prod IMI NR USD	Specialty - Unaligned	0.39	-2.14	-6.08	-5.32	-7.12	-1.30	6.73	4.49	-	20.08	32.02	32.81	35.17	32.02	0.00	0.00	0.00	0.00	0.00	32.81	0.00	35.17	0.00	0.00	4.13	66.18	65.16	1.01	3.05	11.95	0.58	2.71	6.50	0.26	20.23	13.59	4.63	83.61	16.39	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	82.18	17.82	3	3	36	17	3	18	11	1	7	0.00	0.00	0.31	0.09	59.00	0.00	40.79	0.00	85
iShares MSCI All Country Asia ex Jpn ETF	AAXJ	2024-09-06	US Fund Pacific/Asia ex-Japan Stk	MSCI AC Asia Ex Japan NR USD	Pacific Stock	0.70	2.99	6.64	8.53	10.63	-6.77	2.44	3.30	5.29	19.06	41.28	47.81	10.92	4.43	13.28	21.37	2.19	9.22	4.12	7.83	26.64	4.29	3.78	2.84	0.00	0.18	0.18	0.00	41.96	57.71	0.00	0.15	0.00	0.00	99.67	0.15	0.00	42.29	57.71	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	96.23	3.77	28	44	25	1	0	1	0	0	0	0.00	0.00	1.47	1.22	0.19	0.00	99.56	0.00	68
iShares MSCI Australia ETF	EWA	2024-09-06	US Fund Miscellaneous Region	MSCI Australia NR USD	Pacific Stock	0.50	1.04	1.00	2.33	12.72	2.80	5.80	3.89	7.27	24.57	70.46	13.47	16.06	18.41	6.45	39.29	6.31	2.52	4.18	4.61	2.16	4.40	10.30	1.36	0.00	1.26	1.26	0.00	0.00	0.00	97.73	0.00	0.00	0.00	98.74	0.00	0.00	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	99.71	0.29	38	22	33	3	1	2	0	0	0	0.00	0.00	0.65	0.03	1.15	0.00	98.23	0.00	79
iShares MSCI BIC ETF	BKF	2024-09-06	US Fund Diversified Emerging Mkts	MSCI BIC NR USD	Foreign Stock	0.70	0.31	5.60	5.41	6.41	-11.16	-1.51	1.29	2.12	19.79	49.08	36.36	14.56	5.87	19.12	22.56	1.53	12.78	8.13	7.50	7.96	5.83	4.60	4.13	0.00	10.72	0.17	10.55	0.93	88.35	0.00	0.00	0.00	0.00	89.28	0.00	0.00	1.10	98.90	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	98.76	1.24	28	44	26	1	0	1	0	0	0	0.00	0.00	2.93	2.63	0.17	0.00	99.53	0.00	69
iShares MSCI Canada ETF	EWC	2024-09-06	US Fund Miscellaneous Region	MSCI Canada Custom Capped NR USD	Foreign Stock	0.50	-2.14	-2.19	2.08	8.46	2.12	7.66	3.64	5.95	20.76	51.92	41.66	6.42	10.19	4.75	36.49	0.50	1.41	18.62	12.52	9.11	3.91	0.00	2.50	0.00	100.00	100.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	100.00	0.00	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	34	23	29	4	5	3	0	0	0	0.00	0.00	0.42	0.01	4.53	0.00	95.07	0.00	65
iShares MSCI China ETF	MCHI	2024-09-06	US Fund China Region	MSCI China NR USD	Pacific Stock	0.59	-3.34	6.61	3.97	-2.93	-18.22	-4.95	0.82	-	26.75	51.37	37.54	11.10	3.02	28.85	17.66	1.84	22.63	4.06	5.06	5.79	4.45	4.22	2.43	0.00	0.34	0.34	0.00	1.81	97.86	0.00	0.00	0.00	0.00	99.66	0.00	0.00	2.15	97.86	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	97.50	2.50	16	37	43	1	0	2	0	0	0	0.00	0.00	0.66	0.01	0.33	0.00	99.02	0.00	77
iShares MSCI China Small-Cap ETF	ECNS	2024-09-06	US Fund China Region	MSCI China Small Cap NR USD	Pacific Stock	0.59	-6.44	1.02	-5.84	-14.56	-22.20	-7.19	-2.55	-	26.55	32.53	34.31	33.16	8.07	9.27	4.11	11.09	6.95	2.04	15.02	10.30	6.93	23.15	3.08	0.00	0.00	0.00	0.00	6.60	93.40	0.00	0.00	0.00	0.00	100.00	0.00	0.00	6.60	93.40	-	-	-	-	-	-	-	-	-	-	-	0.00	0.00	0.00	0.00	100.00	0.00	0	0	0	23	10	51	4	1	10	0.00	0.00	0.48	0.00	0.26	0.00	99.26	0.00	73
